ID,INGREDIENTES,PRECIO,COMENTARIOS,MATERIA_SECA_(%),HUMEDAD_(%),CENIZAS_(%),PB_(%),EE_(%),EE_VERD_(%),FB_(%),FND_(%),FAD_(%),LAD_(%),ALMIDON_(%),AZUCARES_(%),SUMA_(%),C14:0_(%),C16:0_(%),C16:1_(%),C18:0_(%),C18:1_(%),C18:2_(%),C18:3_(%),C>20_(%),Ca_(%),P_(%),Pftico_(%),Pdisp_AVES_(%),Pdig_AVES_(%),Pdig_PORC_(%),Na_(%),Cl_(%),Mg_(%),K_(%),S_(%),Cu_(ppm),Fe_(ppm),Mn_(ppm),Zn_(ppm),Vit_E_(ppm),Biotina_(ppm),Colina_(ppm),EM_RTES_(Kcal_kg),UFL_(UF_kg),UFC_(UF_kg),ENL_RTES_(Kcal_kg),ENM_RTES_(Kcal_kg),ENC_RTES_(Kcal_kg),ALM_SOLUBLE_(%),ALM_DEGRAD_(%),ED_PORC_(Kcal_kg),EM_PORC_(Kcal_kg),EN_PORC_(Kcal_kg),EN_CERDAS_(Kcal_kg),EMA_POLLIT_(Kcal_kg),EMA_AVES _(Kcal_kg),ED_CONEJOS_(Kcal_kg),ED_CABALLO_(Kcal_kg),PBDIG_RUM_(%),PBDIG_PORC_(%),PBDIG_AVES_(%),PBDIG_CON_(%),PBDIG_CAB_(%),PDIA_(%),PDIE_(%),PDIN_(%),LYS_(%PDIE),MET_(%PDIE),LYS_(%),MET_(%),M+C_(%),THR_(%),TRP_(%),ILE_(%),VAL_(%),ARG_(%),GLYeq_(%),LYS_DIA_(%),MET_DIA_(%),M+C_DIA_(%),THR_DIA_(%),TRP_DIA_(%),ILE_DIA_(%),VAL_DIA_(%),ARG_DIA_(%),GLYeq_DIA_(%),LYS_DIS_(%),MET_DIS_(%),M+C_DIS_(%),THR_DIS_(%),TRP_DIS_(%),ILE_DIS_(%),VAL_DIS_(%),ARG_DIS_(%),GLYeq_DIS_(%),LYS_DR_(%),MET_DR_(%),M+C_DR_(%),THR_DR_(%),TRP_DR_(%),ILE_DR_(%),VAL_DR_(%),ARG_DR_(%),GLYeq_DR_(%)
123,PULPA CêTRICOS (NARANJA+MANDARINA),,,87.7,12.3,6,6.1,1.6,0.9,11.4,20.6,18.5,2.4,0.0,27.4,74,0.01,0.24,0.01,0.05,0.22,0.3,0.05,0,1.8,0.12,0.05,0.07,0.05,0.05,0.08,0.05,0.14,0.85,0.11,4,85,8,20,30,.,780,2600,0.99,0.99,1665,1785,1205,.,.,2800,2750,1880,2040,,1220,2800,2950,3.5,2.6,1.6,3.4,3.2,2.1,8.3,4.2,7,1.9,0.17,0.06,0.14,0.17,0.05,0.18,0.24,0.23,0.37,0.06,0.02,0.06,0.08,0.03,0.08,0.1,0.1,0.04,0.08,0.03,0.08,0.1,0.03,0.1,0.15,0.14,0.14,0.03,0.02,0.03,0.04,0.01,0.05,0.09,0.07,0
124,PULPA MANZANA,,,89.2,10.8,2,5.5,4.0,.,21.1,46.8,33.0,11.5,0.0,12.8,81.9,.,.,.,.,.,.,.,.,0.18,0.12,.,.,.,.,0.04,0.03,0.06,0.65,0.06,10,165,15,13,.,.,.,1990,0.69,0.62,1240,1340,835,.,.,.,.,.,.,,.,.,,2.2,.,.,.,.,1.8,7,3.7,.,.,0.22,0.08,0.14,0.17,0.05,0.17,0.23,0.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
125,PULPA REMOLACHA 4% CENIZAS,,,89.3,10.7,4,8.6,0.6,0.2,19.2,40.8,23.5,1.7,0.0,8.1,72.8,0,0.05,0,0.02,0.14,0.03,0,0,0.84,0.08,0.01,0.07,0.04,0.04,0.16,0.1,0.21,0.54,0.27,9,580,60,20,10,.,800,2630,0.99,0.98,1685,1800,1210,.,.,2815,2715,1745,1965,,640,2640,2940,5.8,3.4,2.6,3.8,4.1,3.1,9,5.8,7.4,1.9,0.49,0.14,0.26,0.41,0.09,0.33,0.51,0.37,0.65,0.22,0.07,0.1,0.09,0.03,0.16,0.19,0.15,0.13,0.26,0.08,0.12,0.12,0.04,0.18,0.22,0.2,0.26,0.15,0.03,0.05,0.08,0.01,0.09,0.13,0.1,0
126,PULPA REMOLACHA 7.5% CENIZAS,,,89.3,10.7,7.5,7.9,0.6,0.2,18.8,39.8,22.9,1.7,0.0,5.6,72.1,0,0.05,0,0.02,0.14,0.03,0,0,1.21,0.08,0.01,0.07,0.04,0.04,0.16,0.1,0.21,0.54,0.27,9,580,60,20,10,.,800,2515,0.95,0.92,1600,1720,1140,.,.,2695,2600,1670,1890,,540,2525,2820,5.4,3.2,2.4,3.5,3.8,2.8,8.6,5.3,7.5,2,0.45,0.13,0.24,0.38,0.08,0.3,0.47,0.34,0.6,0.2,0.07,0.1,0.08,0.03,0.15,0.17,0.14,0.12,0.23,0.08,0.11,0.11,0.04,0.17,0.2,0.19,0.24,0.14,0.03,0.04,0.07,0.01,0.08,0.12,0.09,0
127,CARNE 44/15/28,,,93.6,6.4,28,43.7,15.4,12.3,1.0,1.5,1.1,0.0,0.0,0.0,95,0.28,2.93,0.47,1.79,5.29,1.04,0.1,0.1,7.8,4.0,0.01,3.6,2.48,2.84,0.7,0.65,0.56,0.65,0.45,11,640,25,120,1.3,0.14,2150,2600,0.92,0.91,1655,1775,1175,.,.,2970,2700,1870,1870,2185,2415,.,.,36.3,32.8,31.9,.,.,19,21,30.5,5.7,1.2,2.02,0.5,0.87,1.28,0.2,1.1,1.79,3.06,8.04,1.42,0.36,0.55,0.78,0.12,0.84,1.36,2.57,5.87,1.45,0.37,0.58,0.82,0.13,0.88,1.4,2.57,6.03,1.5,0.36,0.55,0.93,0.15,0.9,1.43,2.51,6.11
128,CARNE 50/14/26,,,94.6,5.4,26,49.3,14.4,11.5,1.0,1.5,1.1,0.0,0.0,0.0,96.6,0.26,2.74,0.44,1.67,4.94,0.97,0.09,0.1,7.5,3.85,0.01,3.46,2.39,2.73,0.7,0.65,0.45,0.6,0.45,11,640,25,120,1.3,0.14,2150,2680,0.94,0.94,1710,1830,1215,.,.,3150,2825,1900,1900,2320,2580,.,.,41.4,37.5,36.5,.,.,21.5,23.5,34.4,5.9,1.3,2.44,0.61,1.09,1.58,0.26,1.44,2.22,3.4,8.63,1.8,0.46,0.71,1.1,0.2,1.11,1.64,2.86,6.21,1.83,0.47,0.73,1.15,0.21,1.14,1.69,2.86,6.38,1.85,0.46,0.72,1.18,0.2,1.18,1.77,2.79,6.73
129,CARNE 52/14/25,,,95.8,4.2,25.2,52.3,14.1,11.3,1.0,1.5,1.1,0.0,0.0,0.0,97.3,0.25,2.68,0.43,1.64,4.84,0.95,0.09,0.09,7.4,3.8,0.01,3.4,2.39,2.74,0.7,0.65,0.4,0.58,0.44,11,640,25,120,1.3,0.14,2150,2750,0.98,0.98,1755,1885,1255,.,.,3315,2960,1980,1980,2435,2700,.,.,44.5,40.8,39.2,.,.,22.8,24.8,36.5,5.9,1.3,2.63,0.67,1.21,1.72,0.3,1.57,2.4,3.56,8.73,1.95,0.51,0.79,1.2,0.23,1.21,1.77,3.02,6.29,1.97,0.52,0.81,1.25,0.24,1.24,1.82,3.02,6.46,2.03,0.52,0.81,1.3,0.23,1.29,1.92,2.99,6.81
130,CARNE 57/13/24,,,96.0,4,23.6,56.6,13.1,10.5,1.0,1.5,1.1,0.0,0.0,0.0,98.8,0.24,2.49,0.4,1.52,4.5,0.88,0.08,0.09,7.1,3.7,0.01,3.33,2.33,2.66,0.7,0.65,0.35,0.54,0.47,11,640,25,120,1.3,0.14,2150,2820,1.01,1.02,1805,1930,1300,.,.,3440,3035,2000,2000,2540,2820,.,.,49.2,44.7,43.6,.,.,24.6,26.7,39.5,6,1.4,2.9,0.75,1.36,1.9,0.36,1.75,2.64,3.82,8.94,2.17,0.58,0.9,1.35,0.27,1.35,1.95,3.25,6.44,2.2,0.59,0.92,1.4,0.28,1.38,2.01,3.25,6.62,2.26,0.61,0.94,1.48,0.27,1.44,2.11,3.21,6.98
131,SUBP. MATADERO AVES,,,90.3,9.7,6.1,61.8,19.3,16.4,1.0,1.5,1.1,0.0,0.0,0.0,98.4,0.15,3.45,0.71,1.32,6.78,3.31,0.46,0.27,1.62,0.72,0,0.65,0.48,0.53,0.24,0.27,0.08,0.3,0.66,14,300,11,120,2.1,0.19,4500,3235,1.15,1.18,2130,2255,1610,.,.,4005,3455,2350,2350,3160,3590,.,.,49.4,45.1,49.4,.,.,26.9,29,43.1,6,1.7,3.2,1.11,2.14,2.21,0.49,2.44,2.97,4.02,9.21,2.3,0.81,1.42,1.54,0.35,1.86,2.22,3.37,6.63,2.33,0.83,1.46,1.59,0.36,1.89,2.28,3.37,6.81,2.36,0.81,1.39,1.57,0.36,1.95,2.25,3.37,7.09
132,CARNE AVES  65/13/16,,,96.5,3.5,15.8,64.8,13.0,10.4,1.2,1.4,1.2,0.1,0.0,0.0,98.5,0.1,2.39,0.52,0.83,4.58,1.77,0.05,0,5.0,2.9,0,2.5,2,2,0.5,0.52,0.15,0.65,0.52,10,421,16,105,.,0.09,6000,3010,1.07,1.08,1945,2075,1420,.,.,3900,3375,2190,2190,2775,3150,.,.,54.4,51.8,50.5,.,.,28.2,30.4,45.2,6.1,1.6,3.5,1.13,2.01,2.33,0.52,2.27,2.72,4.15,9.27,2.83,0.88,1.51,1.77,0.4,1.84,2.12,3.65,6.86,2.9,0.91,1.53,1.82,0.41,1.81,2.18,3.69,7.04,2.94,0.92,1.51,1.73,0.4,1.88,2.15,3.65,7.41
133,PESCADO 59/9/21,,,92.0,8,21.5,59.0,9.0,7.2,1.0,1.5,1.1,0.1,0.0,0.0,99,0.36,1.11,0.5,0.19,1.06,0.07,0,3.39,5.3,3.0,0,3,2.4,2.4,0.84,1.5,0.2,0.85,0.5,8,350,15,105,10,0.2,3150,2670,0.96,0.96,1710,1830,1225,.,.,3540,3090,1965,1965,2785,2930,.,.,51.9,50.7,51.3,50.2,49.6,33.4,35,44.8,7.3,2.1,4.16,1.48,1.95,2.42,0.56,2.42,2.8,3.57,5.53,3.66,1.28,1.65,2.08,0.47,2.15,2.47,3.18,4.37,3.7,1.3,1.67,2.13,0.48,2.18,2.49,3.21,4.43,3.62,1.33,1.64,2.06,0.49,2.15,2.41,3.14,4.37
134,PESCADO 62/9/18,,,92.2,7.8,18.5,62.2,9.2,7.5,1.0,1.5,1.1,0.0,0.0,0.0,99.2,0.37,1.15,0.51,0.19,1.1,0.07,0,3.51,4.7,2.75,0,2.75,2.2,2.2,0.84,1.5,0.2,0.85,0.53,8,320,12,105,11,0.2,3700,2820,1.02,1.02,1815,1940,1320,.,.,3730,3225,2050,2050,2915,3075,.,.,55.4,53.5,54.1,52.9,53.5,35.2,36.8,47.2,7.4,2.2,4.51,1.62,2.11,2.55,0.62,2.55,2.99,3.73,5.83,4.01,1.42,1.82,2.19,0.52,2.27,2.63,3.32,4.61,4.06,1.44,1.84,2.24,0.53,2.3,2.66,3.36,4.67,3.97,1.47,1.8,2.19,0.55,2.3,2.63,3.36,4.61
135,PESCADO 67/10/15,,,92.8,7.2,15.1,66.6,9.4,7.7,1.0,1.5,1.1,0.0,0.0,0.0,99.8,0.39,1.19,0.53,0.2,1.13,0.08,0,3.63,3.8,2.6,0,2.28,1.85,1.92,0.84,1.5,0.2,0.85,0.57,8,280,11,100,13,0.25,4225,2985,1.08,1.09,1935,2060,1425,.,.,4020,3440,2180,2180,3110,3270,.,.,59.9,58.6,57.9,58.6,57.3,37.7,39.3,50.5,7.7,2.3,4.93,1.8,2.36,2.73,0.7,2.73,3.23,3.96,6.25,4.44,1.6,2.06,2.38,0.6,2.46,2.87,3.57,5,4.48,1.62,2.08,2.4,0.61,2.46,2.91,3.57,5.06,4.34,1.64,2.03,2.38,0.62,2.46,2.84,3.57,4.94
136,PESCADO 70/9/13,,,93.0,7,12.5,70.0,9.5,8,0.4,0.8,0.5,0.1,0.0,0.0,99.8,0.4,1.23,0.55,0.21,1.17,0.08,0,3.76,2.55,2.0,0,2,1.6,1.6,0.9,1.55,0.2,1.18,0.6,7,250,10,100,18,0.34,4950,3080,1.11,1.13,2005,2130,1485,.,.,4230,3590,2270,2270,3350,3450,.,.,63,62.3,61.6,.,.,39.6,41.3,53.1,7.6,2.4,5.25,1.96,2.59,2.87,0.74,2.87,3.43,4.13,6.57,4.78,1.76,2.28,2.53,0.64,2.61,3.09,3.76,5.25,4.83,1.78,2.31,2.55,0.65,2.61,3.12,3.76,5.32,4.67,1.8,2.25,2.53,0.65,2.61,3.05,3.76,5.25
137,PLUMAS HIDROLIZADA,,,93.2,6.8,2.2,83.9,6.0,4.7,0.5,1.0,0.6,0.0,0.0,0.0,99.9,0.08,1.4,0.27,0.68,1.39,0.61,0,0,0.23,0.6,0,0.6,0.48,0.48,0.15,0.24,0.2,0.2,1.39,10,240,12,110,7,0.06,895,2975,1.04,1.06,1925,2050,1415,.,.,3770,3080,1760,1760,2500,2950,.,.,67.1,60.4,58.7,.,.,47.6,48.5,56.8,3.9,0.8,2.1,0.54,4.09,3.7,0.49,3.73,5.6,5.71,12.92,1.15,0.33,2.7,2.66,0.3,3.1,4.48,4.62,9.04,1.2,0.34,2.74,2.72,0.32,3.13,4.54,4.74,9.3,1.34,0.38,3.06,2.55,0.32,2.95,4.25,4.45,9.04
138,HNA SANGRE SPRAY,,,92.0,8,3.5,87.0,0.8,.,0.0,0.0,0.0,0.0,0.0,0.0,99.3,.,.,.,.,.,.,.,.,0.16,0.21,0,0.21,0.17,0.17,0.62,0.4,0.05,0.25,0.6,9,2200,3,25,0.5,0.17,400,2950,1.04,1.06,1905,2030,1400,.,.,4200,3460,2030,2030,2880,3100,4385,.,75.7,74,72.2,.,.,50.2,52.3,64.2,8.7,1.2,7.83,1.03,2,4.04,1.33,1.02,7.23,3.74,7.02,6.81,0.88,1.65,3.43,1.18,0.75,6.07,3.18,5.97,6.97,0.89,1.66,3.51,1.18,0.83,6.29,3.22,6.04,6.58,0.89,1.64,3.43,1.1,0.75,6.15,3.25,5.62
139,HEMOGLOBINA,,,93.5,6.5,3.3,91.5,0.5,.,0.0,0.0,0.0,0.0,0.0,0.1,101.9,.,.,.,.,.,.,.,.,0.01,0.1,0,0.1,0.08,0.08,0.4,0.7,0.2,0.5,0.36,8,2850,.,.,.,.,.,.,.,.,.,,.,.,.,4585,3675,2075,2075,3180,3460,.,.,81.4,79.6,75,.,.,.,.,.,.,.,8.54,0.92,1.54,3.56,1.37,0.46,8.69,3.39,6.41,7.34,0.79,1.28,2.99,1.19,0.38,7.21,2.95,5.51,7.51,0.8,1.29,3.2,1.21,0.39,7.3,2.98,5.57,7.34,0.77,1.29,2.95,1.17,0.39,7.39,2.91,5.32
140,PLASMA ANIMAL 70% PB,,,91.4,8.6,17.2,70.6,0.8,0.7,0.0,0.0,0.0,0.0,0.0,2.0,99.2,.,.,.,.,.,.,.,.,0.2,0.15,0,0.14,0.12,0.12,6.3,4.6,0.1,0.42,0.62,3.7,60,.,.,.,.,.,.,.,.,.,,.,.,.,3750,3175,1850,1850,2670,2850,3755,.,64.2,62.8,59.3,63.5,.,.,.,.,.,.,6.14,0.79,2.77,4.22,1.19,2.37,4.67,4.17,5.15,5.53,0.7,2.47,3.72,1.06,2.13,4.2,3.75,4.32,5.71,0.72,2.52,3.84,1.07,2.18,4.29,3.75,4.43,5.53,0.7,2.47,3.76,1.06,2.1,4.2,3.71,4.32
141,PLASMA ANIMAL 78% PB,,,91.4,8.6,7.6,78.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0,3.0,97.8,.,.,.,.,.,.,.,.,0.15,1.2,0,1.2,1.1,1.1,2.8,1.3,0.02,0.17,0.75,13,55,.,.,.,.,.,.,.,.,.,,.,.,.,4240,3510,2050,2050,2980,3150,4250,.,71,70.2,65.5,70.2,.,.,.,.,.,.,6.79,0.73,3.35,4.67,1.41,2.73,5.09,4.6,5.69,6.18,0.65,3.02,4.11,1.27,2.48,4.63,4.14,4.78,6.24,0.65,3.05,4.16,1.28,2.51,4.68,4.19,4.89,6.11,0.64,2.99,4.06,1.26,2.46,4.53,4.14,4.78
142,HARINA HUEVO,,,94.0,6,5,47.0,38.0,36.1,0.0,0.0,0.0,0.0,0.0,3.0,99,0,8.99,1.3,3.25,15.52,5.42,0.11,0.72,0.3,0.66,0,0.66,0.62,0.62,0.4,0.85,0.06,0.4,0.61,4,70,3,50,40,0.5,1300,.,.,.,.,,.,.,.,5780,5220,4000,4000,5600,5650,.,.,45.1,45.1,46.5,.,.,.,.,.,.,.,3.31,1.55,2.68,2.38,0.77,2.54,3.2,3.01,4.23,3.05,1.4,2.44,2.14,0.7,2.36,2.97,2.74,3.8,3.08,1.41,2.46,2.19,0.72,2.36,2.97,2.74,3.8,.,.,.,.,.,.,.,.,0
143,HIDR. MUCOSA PORC. 52,,,94.2,5.8,12.4,52.9,2.6,2.5,2.0,4.0,2.3,0.1,0.0,7.0,84.7,0.01,0.49,0.01,0.11,0.41,1.28,0.15,0.03,0.23,0.81,0.12,0.69,0.62,0.62,2.0,0.15,0.28,2.02,1.7,11.9,181,30,61,.,131,2400,.,.,.,.,,.,.,.,3925,3480,2190,2250,2600,3050,4105,.,50.3,50.3,51.3,50.3,.,.,.,.,.,.,3.48,0.99,1.32,2.34,0.62,2.47,2.78,3.39,4.02,3.31,0.96,1.26,2.23,0.59,2.34,2.64,3.28,3.38,3.34,0.96,1.26,2.25,0.59,2.34,2.64,3.28,3.42,3.31,0.96,1.26,2.23,0.59,2.34,2.64,3.28,3.38
144,HIDR. MUCOSA PORC. 62,,,95.5,4.5,24.6,62.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.5,93.7,0,0.27,0,0.11,0.53,1.02,0.13,0,0.05,0.88,0,0.88,0.68,0.68,7.1,0.56,0.07,0.98,4.71,8,83,4,100,.,.,.,.,.,.,.,,.,.,.,3840,3340,2050,2070,2700,3200,3935,.,60.8,60.1,61.4,60.8,.,.,.,.,.,.,5.22,1.8,2.16,3.2,0.3,2.72,3.36,3.84,5.27,5.12,1.79,2.12,3.17,0.3,2.69,3.33,3.81,4.58,5.17,1.79,2.14,3.17,0.3,2.69,3.33,3.81,4.58,5.17,1.79,2.14,3.17,0.3,2.69,3.33,3.81,4.53
145,HIDR. MUCOSA PORC. 70,,,96.4,3.6,17.3,70.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,91.1,0,0.01,0,0.01,0.03,0.05,0.01,0,0.01,0.91,0,0.91,0.75,0.75,5.3,0.07,0.24,0.67,3.58,4,78,3,86,.,.,.,.,.,.,.,,.,.,.,4200,3580,2140,2160,2900,3450,4445,.,68.7,68,69.4,68.7,.,,,,,,5.61,1.54,2.24,3.29,0.84,2.94,4.07,3.08,5.96,5.5,1.52,2.2,3.26,0.83,2.91,4.03,3.05,5.18,5.55,1.52,2.22,3.26,0.83,2.91,4.03,3.05,5.18,5.55,1.52,2.22,3.26,0.83,2.91,4.03,3.05,5.12
146,CASEINA,,,91.0,9,2.6,87.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.18,0.21,0.02,0.08,0.2,0.02,0,0.02,0.5,0.7,0,0.7,0.65,0.65,0.01,0.04,0.01,0.01,0.6,3,20,4,30,.,0.04,205,3300,1.2,1.22,2175,2305,1650,.,.,4750,3830,2225,2225,3800,3800,4850,4850,85.3,82.7,82.7,84.4,83.5,4.6,11.9,51.9,8,2.3,7.03,2.59,2.98,3.77,1.1,4.64,5.84,3.19,4.73,6.68,2.51,2.77,3.24,1.02,4.31,5.37,3.07,4.21,6.89,2.57,2.89,3.58,1.06,4.45,5.66,3.13,4.26,6.61,2.46,2.8,3.43,1.02,4.54,5.72,3.07,4.21
147,LECHE DESCREMADA,,,95.0,5,7.8,34.2,0.9,0.9,0.0,0.0,0.0,0.0,0.0,50.0,97.9,0.2,0.24,0.03,0.09,0.23,0.02,0,0.02,1.3,1.02,0,1,0.95,0.95,0.5,1,0.11,1.55,0.31,5,8,2,50,3,0.24,1400,3015,1.15,1.17,1950,2080,1430,.,.,3880,3615,2420,2420,2880,2880,3905,3905,31.5,32.5,32.5,32.1,32.1,1.8,9.3,20.4,7.9,2.2,2.63,0.89,1.23,1.54,0.46,1.87,2.14,1.25,1.9,2.47,0.85,1.13,1.35,0.41,1.62,1.86,1.17,1.71,2.51,0.85,1.15,1.4,0.42,1.68,1.93,1.19,1.73,2.52,0.85,1.16,1.46,0.44,1.81,2.08,1.2,1.71
148,LECHE DESCREM.DESNATURA,,,94.4,5.6,8.1,34.0,1.0,0.9,1.3,2.3,1.7,0.6,0.0,46.5,97.5,0.21,0.25,0.03,0.1,0.24,0.02,0,0.02,1.24,1.04,0,1.04,0.95,0.95,0.46,0.95,0.16,1.53,0.34,6,10,3,54,3,0.26,1200,2980,1.11,1.13,1925,2055,1410,.,.,3750,3485,2315,2315,2700,2750,3880,3880,30.9,31.6,31.3,31.3,31.3,2.5,9.7,20.6,7.9,2.2,2.55,0.86,1.27,1.53,0.45,1.97,2.21,1.28,1.84,2.37,0.81,1.17,1.32,0.4,1.69,1.9,1.2,1.63,2.39,0.82,1.18,1.35,0.41,1.73,1.94,1.2,1.65,2.39,0.82,1.18,1.43,0.43,1.85,2.1,1.21,1.63
149,SUERO ACIDO,,,95.6,4.4,12,9.4,0.9,0.9,0.0,0.0,0.0,0.0,0.0,64.0,90.7,0.2,0.24,0.03,0.09,0.23,0.02,0,0.02,1.6,0.91,0,0.91,0.82,0.82,0.9,1.9,0.15,2.2,0.3,3,8,4,15,0.3,0.36,1820,2780,1.08,1.1,1780,1905,1275,.,.,3290,3250,2320,2320,2190,2190,3300,.,8.2,8.4,8.5,8.4,8.4,1,8.2,5.8,7.9,2.1,0.7,0.15,0.33,0.54,0.12,0.53,0.48,0.2,0.47,0.61,0.13,0.27,0.44,0.1,0.44,0.4,0.17,0.36,0.63,0.14,0.3,0.46,0.11,0.47,0.43,0.18,0.37,0.63,0.14,0.3,0.48,0.11,0.47,0.42,0.18,0.37
150,SUERO DULCE OVINO,,,95.7,4.3,8.4,14.1,1.0,1,0.0,0.0,0.0,0.0,0.0,69.0,96.8,0.23,0.24,0.03,0.1,0.25,0.03,0.01,0.02,0.85,0.66,0,0.66,0.6,0.6,0.7,1.6,0.14,1.6,0.5,3,9,4,16,0.24,0.36,1820,2925,1.13,1.15,1885,2015,1370,.,.,3520,3440,2410,2410,2500,2500,3425,.,12.3,12.7,12.7,12.7,12.7,1.5,8.9,8.7,7.9,2,1.05,0.24,0.52,0.84,0.2,0.84,0.75,0.3,0.71,0.91,0.2,0.44,0.67,0.16,0.7,0.61,0.26,0.55,0.94,0.22,0.47,0.72,0.18,0.74,0.66,0.26,0.56,0.92,0.22,0.46,0.73,0.18,0.74,0.64,0.27,0.55
151,SUERO DULCE VACUNO,,,95.5,4.5,8.6,12.5,0.9,0.9,0.0,0.0,0.0,0.0,0.0,70.3,96.8,0.2,0.24,0.03,0.09,0.23,0.02,0,0.02,0.82,0.69,0,0.69,0.62,0.62,0.8,1.6,0.13,2.07,0.11,3,8,4,15,0.26,0.36,1820,2900,1.13,1.15,1865,1995,1355,.,.,3470,3360,2400,2400,2460,2460,3400,-,10.9,11.3,11.3,11.3,11.3,1.3,8.7,7.7,7.9,2,0.93,0.19,0.43,0.73,0.18,0.66,0.63,0.27,0.63,0.8,0.16,0.36,0.59,0.14,0.55,0.52,0.23,0.48,0.83,0.16,0.38,0.62,0.15,0.57,0.55,0.23,0.5,0.85,0.17,0.39,0.67,0.16,0.6,0.57,0.24,0.49
152,SUERO REENGRAS. 50,,,97.2,2.8,4.5,6.2,50.0,47.5,0.0,0.0,0.0,0.0,0.0,35.1,98.6,1.09,11.31,1.81,6.89,20.38,3.99,0.38,0.38,0.41,0.34,0,0.34,0.3,0.3,0.4,0.8,0.06,1.03,0.25,1.5,4,2,7,0.3,0.18,900,5040,1.93,1.98,3540,3660,2980,.,.,5900,5860,4890,4890,5200,5300,5800,-,5.4,5.6,5.6,5.6,.,0.6,4,3.7,7.9,2,0.46,0.1,0.23,0.36,0.09,0.33,0.33,0.13,0.31,0.4,0.08,0.18,0.3,0.07,0.27,0.26,0.11,0.24,0.43,0.09,0.2,0.33,0.08,0.29,0.3,0.12,0.25,0.41,0.08,0.19,0.32,0.08,0.29,0.27,0.12,0.24
153,SUERO DELACTOS.22/39/22,,,95.0,5,23.5,21.0,2.8,2.7,0.0,0.0,0.0,0.0,0.0,38.0,90.3,0.64,0.72,0.08,0.27,0.67,0.05,0.03,0.03,2.8,1.6,0,1.6,1.36,1.36,2.13,3.81,0.29,5.05,1.3,6,20,9,30,0.3,0.36,3900,2470,0.94,0.94,1560,1680,1090,.,.,3070,2950,2050,2050,2100,2120,3075,-,18.3,18.9,18.9,18.9,.,2.3,8.2,13.3,7.9,2,1.56,0.31,0.72,1.22,0.3,1.11,1.06,0.45,1.05,1.37,0.27,0.62,0.99,0.24,0.93,0.87,0.39,0.81,1.4,0.28,0.65,1.07,0.26,0.97,0.92,0.4,0.83,1.43,0.29,0.67,1.11,0.27,1.03,0.97,0.4,0.82
154,SUERO DELACTOS.25/45/20,,,95.5,4.5,19.5,25.5,3.0,2.8,0.0,0.0,0.0,0.0,0.0,45.0,97.5,0.67,0.75,0.08,0.28,0.7,0.06,0.03,0.03,2.3,1.3,0,1.3,1.22,1.22,1.73,3.13,0.24,4.43,1.08,5,18,8,28,0.3,0.36,3900,2640,1,1,1680,1800,1190,.,.,3355,3200,2190,2190,2480,2480,3355,-,22.2,23.2,23,23,.,2.7,8.9,15.7,7.8,2,1.89,0.38,0.87,1.48,0.36,1.34,1.29,0.55,1.28,1.66,0.33,0.74,1.2,0.29,1.13,1.06,0.48,0.99,1.7,0.34,0.77,1.26,0.3,1.15,1.11,0.48,1.01,1.7,0.34,0.79,1.32,0.32,1.19,1.12,0.48,1
155,SUERO DELACTOS.20 GRASA,,,95.5,4.5,15.6,20.4,20.0,19,0.0,0.0,0.0,0.0,0.0,36.0,96.5,0.44,4.52,0.72,2.76,8.15,1.6,0.15,0.15,1.41,1.23,0,1.23,1.1,1.1,1.38,2.5,0.22,3.54,0.16,4,15,6,22,0.3,0.36,3100,3410,1.31,1.34,2245,2375,1700,.,.,4150,3990,3035,3035,3375,3410,4150,.,17.7,18.4,18.4,18.4,.,2.2,7.1,12.6,7.9,2,1.52,0.35,0.7,1.18,0.29,1.07,1.03,0.44,1.02,1.33,0.26,0.59,0.96,0.23,0.9,0.85,0.38,0.79,1.36,0.27,0.62,1.01,0.24,0.92,0.89,0.39,0.81,1.36,0.27,0.63,1.05,0.25,0.96,0.9,0.39,0.8
156,PERMEATO DE SUERO,,,95.9,4.1,8.5,3.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,82.5,99.1,.,.,.,.,.,.,.,.,0.8,0.6,0,0.6,0.55,0.55,0.7,1.25,0.11,1.76,0.08,2,8,3,11,0.3,0.36,1550,.,.,.,.,.,.,.,.,3385,3385,2450,2450,2380,2380,.,.,3,3.2,3.2,.,.,.,.,.,.,.,0.26,0.06,0.13,0.21,0.05,0.21,0.19,0.08,0.18,0.23,0.05,0.11,0.17,0.04,0.17,0.15,0.07,0.14,0.23,0.05,0.11,0.18,0.04,0.18,0.16,0.07,0.14,.,.,.,.,.,.,.,.,0
